n_causes,n_indicators,n_sig_causes,n_sig_inds,correct_g,correct_l,mean_abs_z,chi2,df,pvalue,cfi,tli,rmsea,aic,bic,score,causes_str,indicators_str
3,2,2,1,3,1,1.471544321270649,1.8192341608260278,2,0.40267838795756405,1.0,1.0734431504877744,0.0,612.7879802687139,625.2773077061418,6.480487765460398,dlog_gdp_per_capita|d_tax_burden|d_corruption_perceptions,sdiff_gdp_2|d_employment_rate
3,2,3,1,2,1,2.2417700690210176,4.819363333819489,2,0.08984389030376339,0.9050191630346138,0.525095815173069,0.17899223363736816,598.4111275166647,610.9004549540925,6.424177006902102,d_direct_tax_share|d_corruption_perceptions|d_government_effectiveness,d_employment_rate|d_lfp_rate
3,2,2,1,2,1,3.2807443287118407,2.1018058621804947,2,0.34962192204432796,0.9971636836399524,0.9858184181997621,0.03401300923919584,589.483375753778,601.9727031912058,6.161407766204517,d_tax_burden|d_unemployment_rate|d_corruption_perceptions,dlog_deflated_tax_revenue|sdiff_gdp_2
3,2,2,1,2,1,2.6958003287776084,1.7080526289362332,2,0.4256974848355696,1.0,1.0427435186572853,0.0,590.8322442213445,603.3215716587723,6.1029133662110935,d_tax_burden|d_unemployment_rate|d_government_effectiveness,dlog_deflated_tax_revenue|sdiff_gdp_2
4,2,3,1,3,1,2.049318048414327,5.392639925679113,3,0.14520282529223705,0.9211986257290228,0.6059931286451137,0.13463305702175668,719.1600313418879,733.433548413234,6.029931804841433,dlog_gdp_per_capita|d_direct_tax_share|d_corruption_perceptions|d_government_effectiveness,d_employment_rate|d_lfp_rate
4,2,3,1,3,1,1.88022738418263,5.431228141279249,3,0.14281028928466344,0.9237334595832418,0.6186672979162091,0.1357143876296514,717.6834967289916,731.9570138003377,6.013022738418263,d_tax_burden|d_direct_tax_share|d_corruption_perceptions|d_government_effectiveness,d_employment_rate|d_lfp_rate
3,3,3,1,2,2,2.2335255277566106,6.763240429807748,6,0.3432987179904905,0.971543768607435,0.9288594215185875,0.05376859895999019,726.0719962381669,742.1297029434312,5.973352552775661,d_direct_tax_share|d_corruption_perceptions|d_government_effectiveness,d_lfp_rate|d_employment_rate|sdiff_deflated_M1
4,2,2,1,3,1,2.171129305226911,2.1564044586297086,3,0.5405862981562475,1.0,1.0720230904195784,0.0,687.7224750414848,701.9959921128309,5.842112930522691,d_tax_burden|d_unemployment_rate|d_corruption_perceptions|d_government_effectiveness,dlog_deflated_tax_revenue|sdiff_gdp_2
3,2,2,1,2,1,4.614807782980234,7.042428267304842,2,0.029563519305302766,0.9319405976447511,0.6597029882237558,0.2393748550273675,556.2290531642966,568.7183806017244,5.794814111631356,dlog_gdp_per_capita|d_unemployment_rate|d_corruption_perceptions,d_employment_rate|dlog_deflated_tax_revenue
5,2,3,1,4,1,1.8780179253081795,6.305143424209707,4,0.17748949052546625,0.9356251265456407,0.6620319143646134,0.11444389813080177,834.4823846833854,850.5400913886497,5.787801792530819,dlog_gdp_per_capita|d_tax_burden|d_direct_tax_share|d_corruption_perceptions|d_government_effectiveness,d_employment_rate|d_lfp_rate
3,2,2,1,3,1,4.427377466857919,21.785683245730297,2,1.85908390482048e-05,0.7827480419857481,-0.08625979007125925,0.47417012728615826,553.9884240560713,566.4777514934991,5.776071080019125,dlog_gdp_per_capita|d_tax_burden|d_unemployment_rate,d_employment_rate|dlog_deflated_tax_revenue
3,2,2,1,3,1,2.7837365026231864,8.232690072856862,2,0.016303996186060155,0.8348940844993838,0.17447042249691913,0.26613159067497344,593.7583034003407,606.2476308377685,5.611706983595652,dlog_gdp_per_capita|d_tax_burden|d_unemployment_rate,dlog_deflated_tax_revenue|sdiff_gdp_2
4,3,3,1,3,2,1.9612140301204903,8.96542490624672,8,0.3452210725044388,0.9654585960749164,0.9093288146966555,0.05237064437971301,847.0010020563623,864.8428983955449,5.571121403012049,dlog_gdp_per_capita|d_direct_tax_share|d_corruption_perceptions|d_government_effectiveness,d_employment_rate|d_lfp_rate|sdiff_deflated_M1
3,2,2,1,1,1,2.2234756326631433,1.9259420891866306,2,0.38175698238209277,1.0,1.0249780715746015,0.0,610.3766173345739,622.8659447720017,5.555680896599648,d_direct_tax_share|d_unemployment_rate|d_corruption_perceptions,dlog_deflated_tax_revenue|sdiff_gdp_2
4,3,3,1,3,2,1.8021318196464098,7.408231285309384,8,0.49329456155079054,1.0,1.0554391875220421,0.0,845.3738334728181,863.2157298120007,5.555213181964641,d_tax_burden|d_direct_tax_share|d_corruption_perceptions|d_government_effectiveness,d_employment_rate|d_lfp_rate|sdiff_deflated_M1
4,2,2,1,3,1,2.2545069713402763,4.783674871046895,3,0.1883403749119471,0.9442863753554585,0.7214318767772923,0.11624408981544795,716.8989305491596,731.1724476205056,5.5504506971340275,d_tax_burden|d_direct_tax_share|d_unemployment_rate|d_corruption_perceptions,sdiff_gdp_2|d_lfp_rate
3,2,1,1,2,1,3.8203297537053724,1.139947624922744,2,0.565540248612725,1.0,1.0645161157127874,0.0,557.7611353962046,570.2504628336325,5.548699642037203,dlog_gdp_per_capita|d_direct_tax_share|d_unemployment_rate,d_employment_rate|dlog_deflated_tax_revenue
3,2,2,1,1,1,4.703894075789518,5.313356542300003,2,0.07018095709870287,0.9551049466028468,0.7755247330142342,0.19404066298014125,554.7863540519486,567.2756814893764,5.503722740912285,d_direct_tax_share|d_unemployment_rate|d_corruption_perceptions,d_employment_rate|dlog_deflated_tax_revenue
4,2,2,1,2,1,2.49598115247991,4.210598180919412,3,0.2396029461146767,0.9681235178660659,0.8406175893303296,0.09576637374516472,710.3631260308987,724.6366431022448,5.499598115247991,d_tax_burden|d_direct_tax_share|d_unemployment_rate|d_corruption_perceptions,dlog_deflated_tax_revenue|sdiff_gdp_2
4,2,2,1,2,1,2.244112104282304,3.4553077635990164,3,0.3266049807730893,0.9869109047805688,0.9345545239028439,0.05873075207577788,712.8003464859491,727.0738635572952,5.47441121042823,d_tax_burden|d_direct_tax_share|d_unemployment_rate|d_government_effectiveness,dlog_deflated_tax_revenue|sdiff_gdp_2
5,2,2,1,3,1,2.0018077807784644,4.275766733816489,4,0.36996943633390944,0.9953780090437404,0.9757345474796372,0.03958353751421345,808.5970741530657,824.65478085833,5.4001807780778455,d_tax_burden|d_direct_tax_share|d_unemployment_rate|d_corruption_perceptions|d_government_effectiveness,dlog_deflated_tax_revenue|sdiff_gdp_2
3,2,1,1,2,1,2.2446783816497082,2.1646224120126014,2,0.3388115567321611,0.9944041045244809,0.9720205226224043,0.04325169623744166,596.0214614690606,608.5107889064884,5.391134504831637,dlog_gdp_per_capita|d_tax_burden|d_government_effectiveness,d_lfp_rate|dlog_deflated_tax_revenue
3,3,1,2,2,2,1.912828569928507,7.502552283614651,6,0.2768574844717199,0.9549645734695514,0.8874114336738785,0.07544193742728755,720.2690801049606,736.3267868102249,5.357949523659517,d_tax_burden|d_direct_tax_share|d_corruption_perceptions,dlog_deflated_tax_revenue|d_employment_rate|sdiff_gdp_2
4,3,3,2,3,2,2.076880304444884,16.180457833232545,8,0.0398688416795524,0.7676337354741196,0.39003855561956413,0.1524465054575828,846.9608076521342,864.8027039913169,5.332688030444489,dlog_gdp_per_capita|d_direct_tax_share|d_corruption_perceptions|d_government_effectiveness,sdiff_gdp_2|d_lfp_rate|d_employment_rate
3,2,1,1,2,1,1.6558381715614432,2.2912744226402495,2,0.3180212064994923,0.9828130810060834,0.914065405030417,0.05753204864170861,608.6190866328122,621.1084140702401,5.33225048382281,dlog_gdp_per_capita|d_tax_burden|d_government_effectiveness,d_employment_rate|sdiff_gdp_2
3,2,2,1,3,0,2.7718095070420983,4.718286597542384,2,0.09450114777668317,0.9176239840194086,0.5881199200970432,0.17575443216777778,594.995027359783,607.4843547972108,5.310514284037543,dlog_gdp_per_capita|d_tax_burden|d_unemployment_rate,dlog_deflated_tax_revenue|sdiff_deflated_M1
3,2,1,1,2,1,1.4262096720909863,1.3171942092410518,2,0.5175769316902064,1.0,1.1192873726455628,0.0,595.9722506920409,608.4615781294688,5.309287633875765,dlog_gdp_per_capita|d_direct_tax_share|d_unemployment_rate,dlog_deflated_tax_revenue|d_lfp_rate
